question,answer,p_answer,type,length,difficulty,latency,word,source,target,p_answer_clean,answer_clean,exact,cfm,Model,raw_response,annotated_question,edit_type
Swap 'a' and 'l' in 'colcothar'.,coacothlr,lolcotchar,swap,9,1,,colcothar,a,l,lolcotchar,coacothlr,False,0.6,Initial,,,
Swap 'm' and 'e' in 'chamaecyparis'.,chaeamcyparis,chaamecparis,swap,13,1,,chamaecyparis,m,e,chaamecparis,chaeamcyparis,False,0.7692307692307692,Initial,,,
Swap 'g' and 'l' in 'rightwardly'.,rilhtwardgy,rightwarilyt,swap,11,1,,rightwardly,g,l,rightwarilyt,rilhtwardgy,False,0.6666666666666667,Initial,,,
Swap 'r' and 'p' in 'flopper'.,florrep,flooppe,swap,7,1,,flopper,r,p,flooppe,florrep,False,0.4285714285714286,Initial,,,
Swap 'e' and 'l' in 'descendibility'.,dlsclndibieity,dcsenedibilta,swap,14,1,,descendibility,e,l,dcsenedibilta,dlsclndibieity,False,0.5,Initial,,,
Swap 'o' and 'e' in 'corsetless'.,cersotloss,corstsealt,swap,10,1,,corsetless,o,e,corstsealt,cersotloss,False,0.30000000000000004,Initial,,,
Swap 'b' and 't' in 'beltian'.,telbian,beltian,swap,7,1,,beltian,b,t,beltian,telbian,False,0.7142857142857143,Initial,,,
Swap 'n' and 'd' in 'hendly'.,hednly,hendly,swap,6,1,,hendly,n,d,hendly,hednly,False,0.6666666666666667,Initial,,,
Swap 'l' and 'a' in 'partially'.,plrtilaay,paratil,swap,9,1,,partially,l,a,paratil,plrtilaay,False,0.4444444444444444,Initial,,,
Swap 'p' and 'i' in 'paroecious'.,iaroecpous,paroeicius,swap,10,1,,paroecious,p,i,paroeicius,iaroecpous,False,0.6,Initial,,,
Swap 'i' and 'l' in 'collocalia'.,coiiocaila,collolcaila,swap,10,1,,collocalia,i,l,collolcaila,coiiocaila,False,0.7272727272727273,Initial,,,
Swap 'm' and 'l' in 'sillometer'.,simmoleter,sillometemr,swap,10,1,,sillometer,m,l,sillometemr,simmoleter,False,0.6363636363636364,Initial,,,
Swap 't' and 'g' in 'tigerly'.,giterly,giergly,swap,7,1,,tigerly,t,g,giergly,giterly,False,0.7142857142857143,Initial,,,
Swap 'k' and 'c' in 'zincke'.,zinkce,ccinze,swap,6,1,,zincke,k,c,ccinze,zinkce,False,0.33333333333333337,Initial,,,
Swap 's' and 'o' in 'footstick'.,fsstotick,footstick,swap,9,1,,footstick,s,o,footstick,fsstotick,False,0.6666666666666667,Initial,,,
Swap 't' and 'g' in 'dewlight'.,dewlithg,dwelighthet,swap,8,1,,dewlight,t,g,dwelighthet,dewlithg,False,0.4545454545454546,Initial,,,
Swap 's' and 'i' in 'saccharine'.,iaccharsne,iacccarain,swap,10,1,,saccharine,s,i,iacccarain,iaccharsne,False,0.6,Initial,,,
Swap 'o' and 'n' in 'shipbroken'.,shipbrnkeo,,swap,10,1,,shipbroken,o,n,,shipbrnkeo,False,0.0,Initial,,,
Swap 'u' and 'd' in 'unpanged'.,dnpangeu,dnpagned,swap,8,1,,unpanged,u,d,dnpagned,dnpangeu,False,0.625,Initial,,,
Swap 'y' and 'o' in 'lamellosity'.,lamellysito,lamellosotiy,swap,11,1,,lamellosity,y,o,lamellosotiy,lamellysito,False,0.6666666666666667,Initial,,,
Swap 'y' and 'p' in 'psych'.,yspch,psyh,swap,5,1,,psych,y,p,psyh,yspch,False,0.4,Initial,,,
Swap 'u' and 'h' in 'undecanaphthene'.,hndecanaputuene,,swap,15,1,,undecanaphthene,u,h,,hndecanaputuene,False,0.0,Initial,,,
Swap 'r' and 'p' in 'preplan'.,rperlan,,swap,7,1,,preplan,r,p,,rperlan,False,0.0,Initial,,,
Swap 'o' and 'n' in 'gonyocele'.,gnoyncele,gnonyocele,swap,9,1,,gonyocele,o,n,gnonyocele,gnoyncele,False,0.8,Initial,,,
Swap 'e' and 'i' in 'disozonize'.,desozonezi,,swap,10,1,,disozonize,e,i,,desozonezi,False,0.0,Initial,,,
Swap 'l' and 'b' in 'syphilophobia'.,syphibopholia,spipbhomabo,swap,13,1,,syphilophobia,l,b,spipbhomabo,syphibopholia,False,0.3076923076923077,Initial,,,
Swap 'e' and 'p' in 'spermatiophore'.,seprmatioehorp,spemrmatiophore,swap,14,1,,spermatiophore,e,p,spemrmatiophore,seprmatioehorp,False,0.7333333333333334,Initial,,,
Swap 's' and 'c' in 'securifer'.,cesurifer,csuerifte,swap,9,1,,securifer,s,c,csuerifte,cesurifer,False,0.5555555555555556,Initial,,,
Swap 'a' and 'n' in 'magniloquently'.,mngailoqueatly,mnaignilouqcntely,swap,14,1,,magniloquently,a,n,mnaignilouqcntely,mngailoqueatly,False,0.5294117647058824,Initial,,,
Swap 'c' and 'e' in 'chalcone'.,ehaleonc,chalcnoe,swap,8,1,,chalcone,c,e,chalcnoe,ehaleonc,False,0.375,Initial,,,
Swap 'y' and 'p' in 'zymophosphate'.,zpmoyhosyhate,,swap,13,1,,zymophosphate,y,p,,zpmoyhosyhate,False,0.0,Initial,,,
Swap 'l' and 'f' in 'faunlike'.,launfike,fauenfikl,swap,8,1,,faunlike,l,f,fauenfikl,launfike,False,0.6666666666666667,Initial,,,
Swap 'i' and 'e' in 'fundamentality'.,fundamintalety,fundmetaltiy,swap,14,1,,fundamentality,i,e,fundmetaltiy,fundamintalety,False,0.6428571428571428,Initial,,,
Swap 'c' and 'r' in 'carafe'.,racafe,carafe,swap,6,1,,carafe,c,r,carafe,racafe,False,0.6666666666666667,Initial,,,
Swap 't' and 'i' in 'peracetic'.,peraceitc,percaticer,swap,9,1,,peracetic,t,i,percaticer,peraceitc,False,0.4,Initial,,,
Swap 'a' and 'e' in 'largeheartedness'.,lergahaertadnass,larergeharteness,swap,16,1,,largeheartedness,a,e,larergeharteness,lergahaertadnass,False,0.5625,Initial,,,
Swap 'o' and 'n' in 'proassociation'.,prnassnciatino,prosociaton,swap,14,1,,proassociation,o,n,prosociaton,prnassnciatino,False,0.5714285714285714,Initial,,,
Swap 'p' and 'a' in 'plectognathic'.,alectognpthic,,swap,13,1,,plectognathic,p,a,,alectognpthic,False,0.0,Initial,,,
Swap 'n' and 's' in 'desectionalize'.,denectiosalize,secetionnalise,swap,14,1,,desectionalize,n,s,secetionnalise,denectiosalize,False,0.5714285714285714,Initial,,,
Swap 'r' and 'w' in 'sowbread'.,sorbwead,swobreadow,swap,8,1,,sowbread,r,w,swobreadow,sorbwead,False,0.5,Initial,,,
Swap 'd' and 'l' in 'phalangigrade'.,phadangigrale,phlaingirgad,swap,13,1,,phalangigrade,d,l,phlaingirgad,phadangigrale,False,0.46153846153846156,Initial,,,
Swap 'n' and 'i' in 'silentiary'.,snleitnary,slentiary,swap,10,1,,silentiary,n,i,slentiary,snleitnary,False,0.7,Initial,,,
Swap 'e' and 's' in 'perihysteric'.,psrihyetsric,sphirhisteric,swap,12,1,,perihysteric,e,s,sphirhisteric,psrihyetsric,False,0.46153846153846156,Initial,,,
Swap 'y' and 'r' in 'unrelentingly'.,unyelentinglr,unrelentengily,swap,13,1,,unrelentingly,y,r,unrelentengily,unyelentinglr,False,0.7142857142857143,Initial,,,
Swap 'a' and 'r' in 'nasalward'.,nrsrlwrad,rnsalwadr,swap,9,1,,nasalward,a,r,rnsalwadr,nrsrlwrad,False,0.4444444444444444,Initial,,,
Swap 'r' and 'l' in 'reconvertible'.,leconveltibre,elrovertcireb,swap,13,1,,reconvertible,r,l,elrovertcireb,leconveltibre,False,0.3846153846153846,Initial,,,
Swap 'm' and 'r' in 'watermonger'.,watemrongem,,swap,11,1,,watermonger,m,r,,watemrongem,False,0.0,Initial,,,
Swap 'o' and 'i' in 'deceptious'.,deceptoius,deceiptois,swap,10,1,,deceptious,o,i,deceiptois,deceptoius,False,0.8,Initial,,,
Swap 'n' and 't' in 'precentor'.,precetnor,precentropr,swap,9,1,,precentor,n,t,precentropr,precetnor,False,0.7272727272727273,Initial,,,
Swap 'c' and 's' in 'coolness'.,soolnecc,csnoelness,swap,8,1,,coolness,c,s,csnoelness,soolnecc,False,0.5,Initial,,,
Swap 'c' and 't' in 'ticuna'.,cituna,ticuntA,swap,6,1,,ticuna,c,t,ticuntA,cituna,False,0.4285714285714286,Initial,,,
Swap 's' and 'u' in 'tracheofissure'.,tracheofiuusre,,swap,14,1,,tracheofissure,s,u,,tracheofiuusre,False,0.0,Initial,,,
Swap 't' and 's' in 'peasant'.,peatans,,swap,7,1,,peasant,t,s,,peatans,False,0.0,Initial,,,
Swap 'o' and 'y' in 'pyothorax'.,poythyrax,pythorax,swap,9,1,,pyothorax,o,y,pythorax,poythyrax,False,0.7777777777777778,Initial,,,
Swap 'l' and 't' in 'trantlum'.,lranltum,tranmtum,swap,8,1,,trantlum,l,t,tranmtum,lranltum,False,0.75,Initial,,,
Swap 'g' and 'o' in 'unforeseeing'.,unfgreseeino,ungoeernsee,swap,12,1,,unforeseeing,g,o,ungoeernsee,unfgreseeino,False,0.33333333333333337,Initial,,,
Swap 'e' and 'o' in 'geniohyoid'.,goniehyeid,,swap,10,1,,geniohyoid,e,o,,goniehyeid,False,0.0,Initial,,,
Swap 'i' and 'a' in 'chiasmodon'.,chaismodon,,swap,10,1,,chiasmodon,i,a,,chaismodon,False,0.0,Initial,,,
Swap 'p' and 'i' in 'aprication'.,airpcatpon,ipratocniap,swap,10,1,,aprication,p,i,ipratocniap,airpcatpon,False,0.2727272727272727,Initial,,,
Swap 'y' and 'x' in 'myxotheca'.,mxyotheca,myxotheca,swap,9,1,,myxotheca,y,x,myxotheca,mxyotheca,False,0.7777777777777778,Initial,,,
Swap 'i' and 'v' in 'univocally'.,unviocally,univoicallynu,swap,10,1,,univocally,i,v,univoicallynu,unviocally,False,0.6153846153846154,Initial,,,
Swap 'c' and 'a' in 'hypotrochanteric'.,hypotroahcnteria,hypotrocahtneric,swap,16,1,,hypotrochanteric,c,a,hypotrocahtneric,hypotroahcnteria,False,0.75,Initial,,,
Swap 'u' and 'r' in 'adenoneure'.,adenonerue,dneoonetred,swap,10,1,,adenoneure,u,r,dneoonetred,adenonerue,False,0.4545454545454546,Initial,,,
Swap 'n' and 'm' in 'metanephric'.,netamephric,mecatanephric,swap,11,1,,metanephric,n,m,mecatanephric,netamephric,False,0.6923076923076923,Initial,,,
Swap 'r' and 'b' in 'laburnum'.,larubnum,labunrumal,swap,8,1,,laburnum,r,b,labunrumal,larubnum,False,0.5,Initial,,,
Swap 'u' and 'r' in 'audibertia'.,ardibeutia,rubdiberia,swap,10,1,,audibertia,u,r,rubdiberia,ardibeutia,False,0.5,Initial,,,
Swap 'd' and 'n' in 'suspenderless'.,suspednerless,snspenderuess,swap,13,1,,suspenderless,d,n,snspenderuess,suspednerless,False,0.6923076923076923,Initial,,,
Swap 'l' and 'g' in 'epileptogenous'.,epigeptolenous,,swap,14,1,,epileptogenous,l,g,,epigeptolenous,False,0.0,Initial,,,
Swap 't' and 'p' in 'photochromatic'.,thopochromapic,phoptochromatic,swap,14,1,,photochromatic,t,p,phoptochromatic,thopochromapic,False,0.8,Initial,,,
Swap 'i' and 'l' in 'preblessing'.,prebiesslng,prehlessing,swap,11,1,,preblessing,i,l,prehlessing,prebiesslng,False,0.7272727272727273,Initial,,,
Swap 's' and 'u' in 'unreckingness'.,snreckingneuu,unreckgneness,swap,13,1,,unreckingness,s,u,unreckgneness,snreckingneuu,False,0.6153846153846154,Initial,,,
Swap 'k' and 'm' in 'mokaddam'.,komaddak,mokdamkadam,swap,8,1,,mokaddam,k,m,mokdamkadam,komaddak,False,0.36363636363636365,Initial,,,
Swap 'l' and 'm' in 'semiroll'.,seliromm,,swap,8,1,,semiroll,l,m,,seliromm,False,0.0,Initial,,,
Swap 'h' and 't' in 'hintproof'.,tinhproof,thintprooef,swap,9,1,,hintproof,h,t,thintprooef,tinhproof,False,0.7272727272727273,Initial,,,
Swap 'r' and 'n' in 'hornwort'.,honrwont,hornwrot,swap,8,1,,hornwort,r,n,hornwrot,honrwont,False,0.5,Initial,,,
Swap 'r' and 'i' in 'sabbatarian'.,sabbatairan,sabbiatiran,swap,11,1,,sabbatarian,r,i,sabbiatiran,sabbatairan,False,0.8181818181818181,Initial,,,
Swap 'b' and 'm' in 'unsubmissively'.,unsumbissively,unsbbmisively,swap,14,1,,unsubmissively,b,m,unsbbmisively,unsumbissively,False,0.7142857142857143,Initial,,,
Swap 'l' and 'e' in 'telomitic'.,tleomitic,<final transformed word>,swap,9,1,,telomitic,l,e,<finaltransformedword>,tleomitic,False,0.13636363636363635,Initial,,,
Swap 'p' and 'u' in 'centriciput'.,centriciupt,cnetricupitc,swap,11,1,,centriciput,p,u,cnetricupitc,centriciupt,False,0.5833333333333333,Initial,,,
Swap 'z' and 'm' in 'somatization'.,sozatimation,somtamizaton,swap,12,1,,somatization,z,m,somtamizaton,sozatimation,False,0.5833333333333333,Initial,,,
Swap 'o' and 'p' in 'poikilocyte'.,opikilpcyte,poikilocypT,swap,11,1,,poikilocyte,o,p,poikilocypT,opikilpcyte,False,0.5454545454545454,Initial,,,
Swap 'm' and 'n' in 'munda'.,numda,,swap,5,1,,munda,m,n,,numda,False,0.0,Initial,,,
Swap 'p' and 'n' in 'pronunciamento'.,nropupciamepto,pronnuciamentno,swap,14,1,,pronunciamento,p,n,pronnuciamentno,nropupciamepto,False,0.6,Initial,,,
Swap 'm' and 'g' in 'manage'.,ganame,gnemage,swap,6,1,,manage,m,g,gnemage,ganame,False,0.4285714285714286,Initial,,,
Swap 'l' and 'i' in 'alycompaine'.,aiycompalne,malycompaine,swap,11,1,,alycompaine,l,i,malycompaine,aiycompalne,False,0.75,Initial,,,
Swap 'a' and 'o' in 'heterothallic'.,heterathollic,hetreotlhlic,swap,13,1,,heterothallic,a,o,hetreotlhlic,heterathollic,False,0.5384615384615384,Initial,,,
Swap 'n' and 'l' in 'lawyerling'.,nawyernilg,lawyerling,swap,10,1,,lawyerling,n,l,lawyerling,nawyernilg,False,0.7,Initial,,,
Swap 'n' and 'l' in 'unmobilized'.,ulmobinized,,swap,11,1,,unmobilized,n,l,,ulmobinized,False,0.0,Initial,,,
Swap 'o' and 'l' in 'semicostal'.,semiclstao,semilostac,swap,10,1,,semicostal,o,l,semilostac,semiclstao,False,0.7,Initial,,,
Swap 's' and 'w' in 'towniness'.,tosnineww,twoniness,swap,9,1,,towniness,s,w,twoniness,tosnineww,False,0.5555555555555556,Initial,,,
Swap 'm' and 'o' in 'smokeproof'.,somkeprmmf,,swap,10,1,,smokeproof,m,o,,somkeprmmf,False,0.0,Initial,,,
Swap 'n' and 'r' in 'nonfuturity'.,rorfutunity,nrnoofuturtyn,swap,11,1,,nonfuturity,n,r,nrnoofuturtyn,rorfutunity,False,0.5384615384615384,Initial,,,
Swap 'o' and 'y' in 'allegory'.,allegyro,ylegory,swap,8,1,,allegory,o,y,ylegory,allegyro,False,0.5,Initial,,,
Swap 'l' and 'b' in 'libyan'.,bilyan,bibyan,swap,6,1,,libyan,l,b,bibyan,bilyan,False,0.8333333333333334,Initial,,,
Swap 'h' and 'l' in 'melodiograph'.,mehodiograpl,meloidioghraph,swap,12,1,,melodiograph,h,l,meloidioghraph,mehodiograpl,False,0.7142857142857143,Initial,,,
Swap 'i' and 'e' in 'gastroenteritis'.,gastrointiretes,,swap,15,1,,gastroenteritis,i,e,,gastrointiretes,False,0.0,Initial,,,
Swap 'a' and 'p' in 'assessorship'.,pssessorshia,ppessorsap,swap,12,1,,assessorship,a,p,ppessorsap,pssessorshia,False,0.5833333333333333,Initial,,,
Swap 'u' and 'w' in 'unswearing'.,wnsuearing,unswnreaing,swap,10,1,,unswearing,u,w,unswnreaing,wnsuearing,False,0.5454545454545454,Initial,,,
Swap 'd' and 'i' in 'lineolated'.,ldneolatei,,swap,10,1,,lineolated,d,i,,ldneolatei,False,0.0,Initial,,,
Swap 'u' and 'v' in 'overboastful'.,ouerboastfvl,ovrobeostulf,swap,12,1,,overboastful,u,v,ovrobeostulf,ouerboastfvl,False,0.33333333333333337,Initial,,,
Swap 'n' and 'p' in 'hypnoanalysis'.,hynpoapalysis,hyponalysis,swap,13,1,,hypnoanalysis,n,p,hyponalysis,hynpoapalysis,False,0.7692307692307692,Initial,,,
Swap 'o' and 'h' in 'phanerogenetic'.,poanerhgenetic,phbaenergoecnet,swap,14,1,,phanerogenetic,o,h,phbaenergoecnet,poanerhgenetic,False,0.4666666666666667,Initial,,,
Swap 'r' and 'e' in 'saberproof'.,sabrepeoof,sbearpuof,swap,10,1,,saberproof,r,e,sbearpuof,sabrepeoof,False,0.4,Initial,,,
Swap 't' and 'a' in 'calyptriform'.,ctlypariform,alypsrcofm,swap,12,1,,calyptriform,t,a,alypsrcofm,ctlypariform,False,0.5,Initial,,,
Swap 'b' and 'n' in 'buchmanite'.,nuchmabite,buchnamite,swap,10,1,,buchmanite,b,n,buchnamite,nuchmabite,False,0.7,Initial,,,
Swap 'p' and 'i' in 'impetratory'.,pmietratory,impertatory,swap,11,1,,impetratory,p,i,impertatory,pmietratory,False,0.6363636363636364,Initial,,,
Swap 'l' and 'r' in 'ragingly'.,lagingry,raginlyar,swap,8,1,,ragingly,l,r,raginlyar,lagingry,False,0.4444444444444444,Initial,,,
Swap 'p' and 'i' in 'zooperist'.,zooierpst,zooerpist,swap,9,1,,zooperist,p,i,zooerpist,zooierpst,False,0.7777777777777778,Initial,,,
Swap 'a' and 'r' in 'chondrostean'.,chondaostern,,swap,12,1,,chondrostean,a,r,,chondaostern,False,0.0,Initial,,,
Swap 'p' and 'i' in 'indentureship'.,pndentureshpi,denturesipmint,swap,13,1,,indentureship,p,i,denturesipmint,pndentureshpi,False,0.5714285714285714,Initial,,,
Swap 'b' and 'l' in 'bankfull'.,lankfubb,klankful,swap,8,1,,bankfull,b,l,klankful,lankfubb,False,0.625,Initial,,,
Swap 'r' and 'a' in 'authorish'.,ruthoaish,aouthorish,swap,9,1,,authorish,r,a,aouthorish,ruthoaish,False,0.7,Initial,,,
Swap 'e' and 'l' in 'alteration'.,aetlration,altertano,swap,10,1,,alteration,e,l,altertano,aetlration,False,0.4,Initial,,,
Swap 'm' and 'e' in 'rememberable'.,rmemebmrablm,reemerbeable,swap,12,1,,rememberable,m,e,reemerbeable,rmemebmrablm,False,0.5833333333333333,Initial,,,
Swap 'o' and 'l' in 'counterreply'.,clunterrepoy,cunterply,swap,12,1,,counterreply,o,l,cunterply,clunterrepoy,False,0.6666666666666667,Initial,,,
Swap 'l' and 'n' in 'alternation'.,anterlatiol,nternatioan,swap,11,1,,alternation,l,n,nternatioan,anterlatiol,False,0.6363636363636364,Initial,,,
Swap 'i' and 'u' in 'absinthium'.,absunthuim,absnthium,swap,10,1,,absinthium,i,u,absnthium,absunthuim,False,0.7,Initial,,,
Swap 'p' and 'y' in 'orthotype'.,orthotpye,orhtotype,swap,9,1,,orthotype,p,y,orhtotype,orthotpye,False,0.5555555555555556,Initial,,,
Swap 'd' and 'p' in 'hemipyramid'.,hemidyramip,hempyridam,swap,11,1,,hemipyramid,d,p,hempyridam,hemidyramip,False,0.4545454545454546,Initial,,,
Swap 'o' and 'm' in 'unmelodiously'.,unoelmdimusly,umnelodioussly,swap,13,1,,unmelodiously,o,m,umnelodioussly,unoelmdimusly,False,0.6428571428571428,Initial,,,
Swap 'h' and 'y' in 'hydatina'.,yhdatina,,swap,8,1,,hydatina,h,y,,yhdatina,False,0.0,Initial,,,
Swap 'a' and 'n' in 'semisaline'.,semisnliae,semnasline,swap,10,1,,semisaline,a,n,semnasline,semisnliae,False,0.6,Initial,,,
Swap 'i' and 'l' in 'cycloidean'.,cycioldean,lycloidean,swap,10,1,,cycloidean,i,l,lycloidean,cycioldean,False,0.7,Initial,,,
Swap 't' and 'p' in 'panelation'.,tanelapion,paneleation,swap,10,1,,panelation,t,p,paneleation,tanelapion,False,0.7272727272727273,Initial,,,
Swap 'r' and 'm' in 'dramatist'.,dmaratist,,swap,9,1,,dramatist,r,m,,dmaratist,False,0.0,Initial,,,
Swap 'r' and 'o' in 'bistorta'.,bistrota,bistortab,swap,8,1,,bistorta,r,o,bistortab,bistrota,False,0.6666666666666667,Initial,,,
Swap 'c' and 'a' in 'bullamacow'.,bullcmcaow,ullamacaow,swap,10,1,,bullamacow,c,a,ullamacaow,bullcmcaow,False,0.7,Initial,,,
Swap 'y' and 'm' in 'cymosely'.,cmyoselm,cymosely,swap,8,1,,cymosely,y,m,cymosely,cmyoselm,False,0.625,Initial,,,
Swap 'a' and 'm' in 'decimalism'.,deciamlisa,demcalism,swap,10,1,,decimalism,a,m,demcalism,deciamlisa,False,0.6,Initial,,,
Swap 'c' and 'i' in 'principal'.,prcnicpal,princial,swap,9,1,,principal,c,i,princial,prcnicpal,False,0.6666666666666667,Initial,,,
Swap 'l' and 'd' in 'abidal'.,abilad,badiad,swap,6,1,,abidal,l,d,badiad,abilad,False,0.5,Initial,,,
Swap 'a' and 'd' in 'drosograph'.,arosogrdph,drospgraph,swap,10,1,,drosograph,a,d,drospgraph,arosogrdph,False,0.7,Initial,,,
Swap 'l' and 'e' in 'displaceable'.,dispeaclabel,displaaceble,swap,12,1,,displaceable,l,e,displaaceble,dispeaclabel,False,0.5,Initial,,,
Swap 's' and 'c' in 'soulical'.,coulisal,souicaluS,swap,8,1,,soulical,s,c,souicaluS,coulisal,False,0.4444444444444444,Initial,,,
Swap 'r' and 'u' in 'circumspectly'.,ciucrmspectly,circumuspectly,swap,13,1,,circumspectly,r,u,circumuspectly,ciucrmspectly,False,0.7857142857142857,Initial,,,
Swap 'n' and 'g' in 'tamping'.,tampign,,swap,7,1,,tamping,n,g,,tampign,False,0.0,Initial,,,
Swap 'o' and 'c' in 'amidocaffeine'.,amidcoaffeine,amdicaffeinea,swap,13,1,,amidocaffeine,o,c,amdicaffeinea,amidcoaffeine,False,0.6923076923076923,Initial,,,
Swap 'a' and 'i' in 'amianthine'.,imainthane,amnihtainm,swap,10,1,,amianthine,a,i,amnihtainm,imainthane,False,0.4,Initial,,,
Swap 'e' and 't' in 'tableless'.,eabltltss,tabelless,swap,9,1,,tableless,e,t,tabelless,eabltltss,False,0.5555555555555556,Initial,,,
Swap 'e' and 'r' in 'nesotragus'.,nrsoteagus,nestorgaus,swap,10,1,,nesotragus,e,r,nestorgaus,nrsoteagus,False,0.5,Initial,,,
Swap 'r' and 'c' in 'tracy'.,tcary,cracyt,swap,5,1,,tracy,r,c,cracyt,tcary,False,0.33333333333333337,Initial,,,
Swap 'e' and 'n' in 'bulkiness'.,bulkienss,bulkniss,swap,9,1,,bulkiness,e,n,bulkniss,bulkienss,False,0.6666666666666667,Initial,,,
Swap 'o' and 'e' in 'stremmatograph'.,strommategraph,streemmattagoph,swap,14,1,,stremmatograph,o,e,streemmattagoph,strommategraph,False,0.6,Initial,,,
Swap 't' and 's' in 'sinuatocontorted'.,tinuasoconsorsed,siniuasotocnorted,swap,16,1,,sinuatocontorted,t,s,siniuasotocnorted,tinuasoconsorsed,False,0.6470588235294117,Initial,,,
Swap 't' and 'b' in 'boycott'.,toycobb,bycottb,swap,7,1,,boycott,t,b,bycottb,toycobb,False,0.4285714285714286,Initial,,,
Swap 'd' and 'i' in 'autodidactic'.,autoidiactdc,autoeidatodic,swap,12,1,,autodidactic,d,i,autoeidatodic,autoidiactdc,False,0.6153846153846154,Initial,,,
Swap 'f' and 'u' in 'strengthfulness'.,strengthuflness,strengthufnless,swap,15,1,,strengthfulness,f,u,strengthufnless,strengthuflness,False,0.8666666666666667,Initial,,,
Swap 'r' and 'c' in 'intratrabecular'.,intcatcaberulac,intratcabrabecularr,swap,15,1,,intratrabecular,r,c,intratcabrabecularr,intcatcaberulac,False,0.631578947368421,Initial,,,
Swap 'r' and 'l' in 'clapperclawer'.,crappelcrawel,clappearlcawer,swap,13,1,,clapperclawer,r,l,clappearlcawer,crappelcrawel,False,0.6428571428571428,Initial,,,
Swap 'r' and 'l' in 'refrangibleness'.,leflangibreness,,swap,15,1,,refrangibleness,r,l,,leflangibreness,False,0.0,Initial,,,
Swap 'h' and 'u' in 'bryanthus'.,bryantuhs,,swap,9,1,,bryanthus,h,u,,bryantuhs,False,0.0,Initial,,,
Swap 'e' and 'r' in 'eruption'.,reuption,urptnu,swap,8,1,,eruption,e,r,urptnu,reuption,False,0.25,Initial,,,
Swap 'e' and 'n' in 'nephroerysipelas'.,enphronrysipnlas,nhprioenrysipelas,swap,16,1,,nephroerysipelas,e,n,nhprioenrysipelas,enphronrysipnlas,False,0.6470588235294117,Initial,,,
Swap 'y' and 'n' in 'candy'.,caydn,,swap,5,1,,candy,y,n,,caydn,False,0.0,Initial,,,
Swap 'r' and 'i' in 'samaroid'.,samaiord,samaroid,swap,8,1,,samaroid,r,i,samaroid,samaiord,False,0.75,Initial,,,
Swap 'a' and 'r' in 'primariness'.,paimrainess,rimraipinaris,swap,11,1,,primariness,a,r,rimraipinaris,paimrainess,False,0.46153846153846156,Initial,,,
Swap 'l' and 'h' in 'owlishness'.,owhislness,,swap,10,1,,owlishness,l,h,,owhislness,False,0.0,Initial,,,
Swap 'r' and 'e' in 'forbearable'.,foebraeablr,,swap,11,1,,forbearable,r,e,,foebraeablr,False,0.0,Initial,,,
Swap 'y' and 't' in 'apterygote'.,apyertgoye,,swap,10,1,,apterygote,y,t,,apyertgoye,False,0.0,Initial,,,
Swap 'h' and 'b' in 'rohob'.,roboh,rohboh,swap,5,1,,rohob,h,b,rohboh,roboh,False,0.8333333333333334,Initial,,,
Swap 'r' and 'i' in 'rhigolene'.,ihrgolene,rhgolene,swap,9,1,,rhigolene,r,i,rhgolene,ihrgolene,False,0.7777777777777778,Initial,,,
Swap 'x' and 'a' in 'complexionably'.,compleaionxbly,,swap,14,1,,complexionably,x,a,,compleaionxbly,False,0.0,Initial,,,
Swap 't' and 'l' in 'antesternal'.,anleslernat,lntselatn,swap,11,1,,antesternal,t,l,lntselatn,anleslernat,False,0.36363636363636365,Initial,,,
Swap 'k' and 'l' in 'hankeringly'.,hanleringky,hlnankerlyn,swap,11,1,,hankeringly,k,l,hlnankerlyn,hanleringky,False,0.2727272727272727,Initial,,,
Swap 'd' and 'h' in 'fashioned'.,fasdioneh,fasihoned,swap,9,1,,fashioned,d,h,fasihoned,fasdioneh,False,0.6666666666666667,Initial,,,
Swap 'n' and 'c' in 'consilience'.,nocsiliecne,consilience,swap,11,1,,consilience,n,c,consilience,nocsiliecne,False,0.6363636363636364,Initial,,,
Swap 'c' and 'u' in 'unscamped'.,cnsuamped,uncsampped,swap,9,1,,unscamped,c,u,uncsampped,cnsuamped,False,0.6,Initial,,,
Swap 'o' and 't' in 'ignorantist'.,igntranoiso,tneratnistig,swap,11,1,,ignorantist,o,t,tneratnistig,igntranoiso,False,0.33333333333333337,Initial,,,
Swap 'r' and 's' in 'pyrales'.,pysaler,,swap,7,1,,pyrales,r,s,,pysaler,False,0.0,Initial,,,
Swap 'w' and 'h' in 'thimbleflower'.,twimblefloher,hmibletflower,swap,13,1,,thimbleflower,w,h,hmibletflower,twimblefloher,False,0.6153846153846154,Initial,,,
Swap 'i' and 'c' in 'cleistothecopsis'.,ilecstotheiopscs,clelstothecopsi,swap,16,1,,cleistothecopsis,i,c,clelstothecopsi,ilecstotheiopscs,False,0.6875,Initial,,,
Swap 'o' and 'b' in 'membraniferous'.,memoraniferbus,membrraniferous,swap,14,1,,membraniferous,o,b,membrraniferous,memoraniferbus,False,0.8,Initial,,,
Swap 'i' and 'n' in 'indecidua'.,nidecndua,indnecidua,swap,9,1,,indecidua,i,n,indnecidua,nidecndua,False,0.6,Initial,,,
Swap 'e' and 'g' in 'goitered'.,eoitgrgd,gootiredaed,swap,8,1,,goitered,e,g,gootiredaed,eoitgrgd,False,0.36363636363636365,Initial,,,
